iter	RMSE
166	0.2210853349
167	0.2207838327
168	0.2205234234
169	0.2199255582
170	0.2197593572
171	0.2191805227
172	0.2186646579
173	0.2181829752
174	0.2176638224
175	0.2175348687
176	0.2170020181
177	0.2168912682
178	0.216663806
179	0.2161615113
180	0.2159654503
181	0.2153997052
182	0.2150914635
183	0.2146841464
184	0.2144996438
185	0.2140219094
186	0.2133829149
187	0.2128588773
188	0.2124762836
189	0.2119338614
190	0.2117869648
191	0.2112980803
192	0.2108411051
193	0.210556609
194	0.2101162448
195	0.2096230155
196	0.2091775386
197	0.2083400182
198	0.2081085671
199	0.2073971462
200	0.2072188674
201	0.2070330565
202	0.2064931034
203	0.2062626754
204	0.205839953
205	0.2053852617
206	0.2051678071
207	0.2049914011
208	0.2045220077
209	0.2037376251
210	0.2031138928
211	0.2027665518
212	0.2021804069
213	0.2017792569
214	0.2011422982
215	0.2009745595
216	0.200441559
217	0.1999430202
218	0.1998400593
219	0.1996899959
220	0.1995920763
221	0.1990154145
222	0.1983129571
223	0.1981492283
224	0.1975536478
225	0.1974256431
226	0.1973208501
227	0.1967696759
228	0.1966529955
229	0.1965409687
230	0.1960012418
231	0.1955417999
232	0.1954478078
233	0.1950880466
234	0.1946014586
235	0.1941361774
236	0.1938205988
237	0.1935113838
238	0.1927977657
239	0.1925154024
240	0.1920073083
241	0.1915153255
242	0.191122638
243	0.1907098231
244	0.1903843529
245	0.1901316619
246	0.1897969102
247	0.1895890266
248	0.1890504256
249	0.1887894906
250	0.1880483092
251	0.1876501583
252	0.1870837535
253	0.186583674
254	0.1861974397
255	0.1856003555
256	0.1854031918
257	0.1848722096
258	0.1845217313
259	0.184130038
260	0.183811508
261	0.1835720239
262	0.1831749153
263	0.1826942835
264	0.1821286902
265	0.1818014323
266	0.1814591532
267	0.1810781664
268	0.1807058272
269	0.1802720719
270	0.1799044467
271	0.179416809
272	0.1791197351
273	0.1787235473
274	0.1783995527
275	0.1783360767
276	0.1779473317
277	0.1777946939
278	0.1777154002
279	0.1773358188
280	0.177131648
281	0.1768910971
282	0.176719192
283	0.1764272164
284	0.1763667757
285	0.1759842457
286	0.1755770203
287	0.1755004005
288	0.1750709388
289	0.1746815898
290	0.1741305669
291	0.1738302804
292	0.1735944363
293	0.1733460254
294	0.1731090931
295	0.1728725943
296	0.1726374745
297	0.1722022859
298	0.1717726802
299	0.1714060202
300	0.1711144884
301	0.1707208026
302	0.1704003274
303	0.1700991383
304	0.1698467884
305	0.1694720088
306	0.1690713516
307	0.1687722153
308	0.1685085766
309	0.1683103329
310	0.1680281812
311	0.1677112676
312	0.1672803495
313	0.1671102132
314	0.1669297981
315	0.1665272613
316	0.1661257434
317	0.1658266264
318	0.1654964515
319	0.1654438132
320	0.1651187628
321	0.1649451419
322	0.1644083196
323	0.1640720296
324	0.1637961416
325	0.1636686356
326	0.1633903292
327	0.163291517
328	0.1629507518
329	0.162908889
330	0.1628616768
331	0.162505377
332	0.1621106075
333	0.161767722
334	0.1614020357
335	0.1611578622
336	0.1609515287
337	0.1606574232
338	0.1603221255
339	0.1599489137
340	0.1597520211
341	0.1595440263
342	0.1592661575
343	0.1591307995
344	0.1587584388
345	0.1584967853
346	0.1583165824
347	0.1578523256
348	0.1576124022
349	0.1574509032
350	0.1571203423
351	0.1569452456
352	0.1567801154
353	0.1565286952
354	0.1563159597
355	0.156074215
356	0.1559438804
357	0.1557367602
358	0.155451764
359	0.1551773169
360	0.1551417428
361	0.1548581442
362	0.154467881
363	0.1543937426
364	0.1542524849
365	0.1539034323
366	0.1536591443
367	0.1534295196
368	0.153400072
369	0.1533649626
370	0.1530410221
371	0.1529992519
372	0.1528353974
373	0.1524510482
374	0.1520927362
375	0.1518444225
376	0.151603007
377	0.1513053052
378	0.1510739318
379	0.1507292075
380	0.1505766945
381	0.1504105335
382	0.1501204574
383	0.1497468264
384	0.1496333076
385	0.1492856916
386	0.1491788081
387	0.1489225249
388	0.1487080107
389	0.148589167
390	0.1483200708
391	0.148089659
392	0.14787679
393	0.147849922
394	0.1475816833
395	0.1473556764
396	0.1471512494
397	0.1468061985
398	0.1466550982
399	0.1464421552
400	0.1462945077
401	0.1459486299
402	0.1456590893
403	0.145440942
404	0.1451518004
405	0.144984382
406	0.1449489822
407	0.1446396357
408	0.1446071789
409	0.1444624509
410	0.1442539056
411	0.1440336773
412	0.1439475774
413	0.1435291051
414	0.1433062087
415	0.1431633898
416	0.1429366786
417	0.1426860364
418	0.142661869
419	0.1424329672
420	0.1421224896
421	0.1418195813
422	0.1415120046
423	0.1413122606
424	0.1410847758
425	0.1410557265
426	0.1407095517
427	0.1404829127
428	0.1403497942
429	0.1401869533
430	0.1399820361
431	0.1396500664
432	0.1394848333
433	0.1390988169
434	0.1390748631
435	0.1388424262
436	0.1385064831
437	0.1383565176
438	0.1381329954
439	0.1378464256
440	0.1377127619
441	0.1374499843
442	0.1374202394
443	0.1373296784
444	0.1370494531
445	0.1367600398
446	0.1364950861
447	0.136412517
448	0.1362648096
449	0.1361874071
450	0.1358904282
451	0.1358684995
452	0.1355908022
453	0.135398227
454	0.1352246877
455	0.1350076243
456	0.1347822881
457	0.1345662156
458	0.1344547601
459	0.1342228105
460	0.13393664
461	0.1337707703
462	0.1336932186
463	0.1334483065
464	0.1331466987
465	0.1330425021
466	0.132955312
467	0.1326826893
468	0.1324626516
469	0.1324367677
470	0.1321316473
471	0.1319051673
472	0.1316404242
473	0.13128924
474	0.1312305594
475	0.1309570835
476	0.130622203
477	0.1306016438
478	0.1305837853
479	0.1303440873
480	0.1301261506
481	0.1299969486
482	0.1299371081
483	0.1297947541
484	0.1296815287
485	0.1295377853
486	0.1292246195
487	0.1289776974
488	0.128730214
489	0.1284981979
490	0.1283908345
491	0.1282065143
492	0.128116043
493	0.1279569084
494	0.1278487413
495	0.1276900727
496	0.1276645244
497	0.127648478
498	0.1275122794
499	0.1273206303
500	0.1271279683
501	0.1269775469
502	0.1267873173
503	0.1266979212
504	0.1263001592
505	0.1261908304
506	0.1260034596
507	0.1257131306
508	0.1256295279
509	0.1254371743
510	0.1253874444
511	0.1250734047
512	0.1250568463
513	0.1249641704
514	0.1247289244
515	0.1245775758
516	0.1244218484
517	0.1242286609
518	0.1240665216
519	0.1240447278
520	0.1238196713
521	0.1237413555
522	0.123592189
523	0.1235765388
524	0.1234088997
525	0.1233542003
526	0.1233361707
527	0.1231490136
528	0.1231347125
529	0.1230119382
530	0.1228143554
531	0.1226604755
532	0.1225740834
533	0.1225017272
534	0.1221984269
535	0.1220177829
536	0.1217606791
537	0.1217234432
538	0.1214466518
539	0.12127546
540	0.1212617886
541	0.1209989377
542	0.1208445862
543	0.1207176255
544	0.1204054393
545	0.120314057
546	0.120183433
547	0.1201254572
548	0.1199700109
549	0.1198565788
550	0.1197731017
551	0.119558874
552	0.1194013487
553	0.1191091974
554	0.1189411658
555	0.1186469389
556	0.1184525955
557	0.1183327696
558	0.1183083618
559	0.1180815343
560	0.1179316017
561	0.117750217
562	0.11764775
563	0.1174901865
564	0.1174759234
565	0.117301943
566	0.1170559747
567	0.1168755375
568	0.1166423569
569	0.1165316189
570	0.1163557726
571	0.1161745614
572	0.1158641348
573	0.1156953123
574	0.1155816577
575	0.115353498
576	0.1152980633
577	0.1152082367
578	0.1151157912
579	0.1150981015
580	0.1150349382
581	0.1150169659
582	0.1149251156
583	0.1147210762
584	0.1147061664
585	0.1146934174
586	0.1145697564
587	0.1143989055
588	0.1143330459
589	0.1141154295
590	0.1138882
591	0.1137646532
592	0.1136798599
593	0.1136688327
594	0.1135044796
595	0.1132874144
596	0.1131218747
597	0.1130277685
598	0.1129741034
599	0.112948719
600	0.1128952769
601	0.1127470425
602	0.1126179549
603	0.1124159223
604	0.1122079769
605	0.112032805
606	0.1120165799
607	0.1119414871
608	0.1118334216
609	0.1115860772
610	0.1114192749
611	0.1112388053
612	0.1110828878
613	0.1108215063
614	0.1108057102
615	0.1107574031
616	0.1106349553
617	0.1104601455
618	0.1104455289
619	0.1103579944
620	0.1102534019
621	0.1099913258
622	0.1099751359
623	0.1098058299
624	0.1095211304
625	0.1094988092
626	0.1092615915
627	0.1092080897
628	0.1090243338
629	0.1088798596
630	0.1086878476
631	0.1084458443
632	0.1083272527
633	0.1081802027
634	0.107923401
635	0.1077399943
636	0.1074953392
637	0.1074819004
638	0.107463192
639	0.1074057334
640	0.1073946369
641	0.1073069751
642	0.1071627302
643	0.1069300199
644	0.1068548434
645	0.1068419706
646	0.1065952401
647	0.1065217018
648	0.1065067673
649	0.1063200131
650	0.1061548106
651	0.1059858635
652	0.1059754924
653	0.1058826973
654	0.1056965609
655	0.1055239701
656	0.1054234385
657	0.1052419286
658	0.1050808153
659	0.1050710904
660	0.1050533362
661	0.1049677354
662	0.1048861566
663	0.1046491927
664	0.1044990922
665	0.1043651597
666	0.1042061381
667	0.1041563385
668	0.1038979255
669	0.1038891639
670	0.1036714109
671	0.1036610526
672	0.1034351967
673	0.1033563649
674	0.1032687941
675	0.1032406567
676	0.1030526699
677	0.1028252362
678	0.1027154197
679	0.1027038598
680	0.1025829432
681	0.1024366595
682	0.1023018372
683	0.1020784811
684	0.1018264652
685	0.1018188332
686	0.1016023518
687	0.10158435
688	0.1013163352
689	0.1013026338
690	0.1012945258
691	0.1012176998
692	0.1009860585
693	0.100785275
694	0.1007618256
695	0.1006064356
696	0.1005961335
697	0.1003673845
698	0.100313327
699	0.1000854937
700	0.0999464238
701	0.09979231492
702	0.09978400159
703	0.09967202262
704	0.09947402342
705	0.09934780442
706	0.09908332607
707	0.09897362708
708	0.09880529273
709	0.09864989675
710	0.09847399644
711	0.0984605256
712	0.09830004759
713	0.09823857197
714	0.09822975207
715	0.09806111687
716	0.09792110221
717	0.0978626962
718	0.09770825808
719	0.0976795454
720	0.09767299113
721	0.09752325454
722	0.09751171853
723	0.09730986108
724	0.09713569951
725	0.09705328868
726	0.09695162721
727	0.09670452684
728	0.09663484274
729	0.09643465262
730	0.09630734155
731	0.0962311051
732	0.09602256926
733	0.09597838198
734	0.09579273072
735	0.09578459826
736	0.09561181273
737	0.09555586384
738	0.09550948389
739	0.09534711357
740	0.09517968579
741	0.09508244298
742	0.09490176719
743	0.09465648064
744	0.0945832625
745	0.0943928738
746	0.09434788296
747	0.09433398264
748	0.0941674493
749	0.09416074019
750	0.0940559599
751	0.09391015542
752	0.09364214772
753	0.09347760127
754	0.09337532272
755	0.09316588049
756	0.09307263345
757	0.09296885374
758	0.09284124629
759	0.09267545479
760	0.09256353882
761	0.09247663382
762	0.09235578057
763	0.09222540114
764	0.09216106265
765	0.092001518
766	0.09187211134
767	0.09173983549
768	0.09161000921
769	0.09148146458
770	0.091445796
771	0.0913278169
772	0.09123494244
773	0.09120634717
774	0.09111473412
775	0.09107216161
776	0.09091551372
777	0.09086716101
778	0.09085788326
779	0.09069002754
780	0.0905165194
781	0.09032632058
782	0.09022013999
783	0.09005311284
784	0.08996946363
785	0.08990320465
786	0.08975495761
787	0.08967300383
788	0.08962093035
789	0.08952814548
790	0.08939194921
791	0.08933848934
792	0.08929564905
793	0.08925092662
794	0.08924247933
795	0.08909833387
796	0.08901971559
797	0.08883334054
798	0.08874414168
799	0.08859859148
800	0.08846465158
801	0.08824700058
802	0.08816487165
803	0.08815911604
804	0.08815162976
805	0.08803151072
806	0.08802279396
807	0.08789668468
808	0.08783151319
809	0.08782697191
810	0.08765915807
811	0.08746145181
812	0.08745085854
813	0.08729190965
814	0.08713525045
815	0.08702665906
816	0.08685345588
817	0.08673492682
818	0.08665544277
819	0.08645869626
820	0.08637845096
821	0.08636899458
822	0.08629241104
823	0.08621334734
824	0.08616141972
825	0.08602341911
826	0.08585284088
827	0.08571998355
828	0.08562458234
829	0.08555236805
830	0.08546380043
831	0.08539330818
832	0.0853425195
833	0.08516064905
834	0.08511033122
835	0.0849566276
836	0.08492034317
837	0.08483226926
838	0.08463164756
839	0.08452796976
840	0.08436887366
841	0.08422858858
842	0.08409658533
843	0.08388967392
844	0.08372090278
845	0.08361046448
846	0.08345953515
847	0.08331343472
848	0.08321396036
849	0.08315119053
850	0.08308987484
851	0.08291084093
852	0.08281342125
853	0.08267879947
854	0.08246159537
855	0.08232796845
856	0.08225698264
857	0.08225070625
858	0.08224425619
859	0.08221155086
860	0.08214298634
861	0.08208442543
862	0.08202627125
863	0.08185507572
864	0.08179214091
865	0.08160633601
866	0.08146607034
867	0.0814389293
868	0.08137305685
869	0.08132268831
870	0.08123405909
871	0.08120016762
872	0.08110999479
873	0.08103431666
874	0.08087325281
875	0.08076958884
876	0.08076466696
877	0.08075937101
878	0.08062911575
879	0.08048938089
880	0.08039290682
881	0.0803251319
882	0.08023142213
883	0.08017815721
884	0.08016958926
885	0.08007082456
886	0.07997373488
887	0.07982409454
888	0.07969209781
889	0.07956955114
890	0.07939732535
891	0.07936128153
892	0.07927694809
893	0.0792008792
894	0.07904439113
895	0.07901163198
896	0.0789313422
897	0.07886257677
898	0.07868426057
899	0.07860679991
900	0.07845871482
901	0.0783435266
902	0.0782362345
903	0.0781849427
904	0.07802219405
905	0.07801721816
906	0.07801321699
907	0.0778461171
908	0.07781171527
909	0.0776872567
910	0.07768249932
911	0.0775640484
912	0.07749026831
913	0.07737914541
914	0.07732839437
915	0.07716138141
916	0.07708924384
917	0.07699825508
918	0.07689633521
919	0.07678127748
920	0.07668024098
921	0.07666492238
922	0.07664977562
923	0.07654098759
924	0.07649753446
925	0.07640412473
926	0.07627125917
927	0.07615838715
928	0.07602911984
929	0.0760240272
930	0.07592354467
931	0.07586200169
932	0.07574082664
933	0.07560096472
934	0.07554891575
935	0.07549876412
936	0.07549487324
937	0.07546612064
938	0.07532956461
939	0.07523188883
940	0.07518713648
941	0.07510224367
942	0.0749723166
943	0.07485426344
944	0.07471494925
945	0.07465646708
946	0.07460393948
947	0.07459958508
948	0.07451790431
949	0.07448125267
950	0.07447683992
951	0.07438232398
952	0.07437788315
953	0.07428002324
954	0.07422470901
955	0.07407535281
956	0.07403433073
957	0.07390741685
958	0.07389241653
959	0.0738314292
960	0.07371017103
961	0.07362932664
962	0.07351205359
963	0.07340861397
964	0.07337298384
965	0.07328682603
966	0.07312386419
967	0.07306583674
968	0.07306136812
969	0.07300729622
970	0.07292015203
971	0.07285216353
972	0.07280269509
973	0.0726813689
974	0.07256685579
975	0.07250049799
976	0.07237093912
977	0.0722756723
978	0.07214047065
979	0.07202610637
980	0.07188240774
981	0.07173321366
982	0.07160166378
983	0.07145466176
984	0.07139261977
985	0.07138608251
986	0.07125946294
987	0.07123850856
988	0.07113794631
989	0.07106928451
990	0.07106555205
991	0.0710619323
992	0.07105712894
993	0.07097860304
994	0.07095748346
995	0.07095400862
996	0.07083939062
997	0.07077542382
998	0.07077052988
999	0.07064713674
