iter	Passed	Remaining
295	3382	8043
296	3389	8024
297	3398	8005
298	3407	7988
299	3418	7977
300	3428	7963
301	3439	7950
302	3451	7938
303	3461	7925
304	3469	7906
305	3478	7890
306	3486	7870
307	3494	7850
308	3502	7833
309	3513	7820
310	3522	7804
311	3532	7789
312	3542	7774
313	3550	7757
314	3559	7740
315	3567	7722
316	3577	7707
317	3587	7694
318	3599	7684
319	3611	7675
320	3624	7666
321	3635	7655
322	3646	7643
323	3658	7633
324	3673	7629
325	3686	7621
326	3700	7616
327	3716	7614
328	3728	7603
329	3737	7587
330	3749	7578
331	3760	7566
332	3774	7559
333	3786	7549
334	3797	7538
335	3810	7530
336	3822	7520
337	3834	7510
338	3848	7503
339	3863	7499
340	3877	7494
341	3892	7488
342	3906	7482
343	3922	7479
344	3936	7472
345	3950	7466
346	3962	7456
347	3976	7450
348	3988	7439
349	4002	7432
350	4023	7439
351	4035	7429
352	4049	7421
353	4061	7412
354	4075	7404
355	4093	7404
356	4106	7396
357	4115	7379
358	4123	7363
359	4135	7352
360	4145	7337
361	4154	7321
362	4165	7309
363	4176	7296
364	4187	7285
365	4197	7271
366	4207	7257
367	4218	7245
368	4228	7231
369	4241	7222
370	4251	7208
371	4263	7196
372	4274	7184
373	4286	7174
374	4297	7162
375	4309	7151
376	4321	7140
377	4334	7132
378	4346	7122
379	4361	7115
380	4374	7107
381	4388	7099
382	4402	7092
383	4414	7081
384	4425	7069
385	4440	7062
386	4452	7052
387	4468	7048
388	4484	7043
389	4495	7031
390	4509	7023
391	4520	7011
392	4532	7000
393	4544	6990
394	4555	6978
395	4567	6966
396	4578	6953
397	4589	6941
398	4600	6930
399	4611	6917
400	4621	6903
401	4630	6887
402	4639	6872
403	4650	6860
404	4661	6847
405	4672	6835
406	4682	6822
407	4692	6809
408	4701	6794
409	4713	6782
410	4721	6765
411	4731	6752
412	4743	6742
413	4754	6730
414	4772	6726
415	4784	6716
416	4797	6707
417	4808	6694
418	4819	6682
419	4830	6671
420	4841	6659
421	4850	6643
422	4858	6627
423	4868	6613
424	4877	6598
425	4885	6582
426	4894	6567
427	4902	6552
428	4911	6536
429	4918	6520
430	4926	6503
431	4934	6488
432	4944	6474
433	4953	6459
434	4960	6443
435	4968	6426
436	4976	6411
437	4983	6394
438	4992	6379
439	5002	6366
440	5010	6351
441	5021	6339
442	5032	6327
443	5040	6312
444	5048	6296
445	5059	6284
446	5070	6273
447	5080	6260
448	5093	6250
449	5106	6241
450	5117	6229
451	5129	6218
452	5143	6211
453	5157	6202
454	5168	6191
455	5180	6179
456	5191	6169
457	5203	6158
458	5216	6148
459	5228	6137
460	5239	6126
461	5251	6115
462	5263	6104
463	5279	6098
464	5293	6090
465	5306	6080
466	5319	6070
467	5334	6064
468	5347	6054
469	5360	6045
470	5375	6037
471	5390	6030
472	5402	6019
473	5415	6009
474	5430	6001
475	5443	5992
476	5459	5986
477	5478	5982
478	5493	5975
479	5508	5967
480	5521	5957
481	5533	5946
482	5545	5936
483	5556	5924
484	5569	5914
485	5582	5904
486	5593	5891
487	5603	5879
488	5613	5865
489	5623	5852
490	5632	5838
491	5641	5824
492	5650	5811
493	5659	5797
494	5669	5783
495	5678	5769
496	5687	5756
497	5696	5742
498	5704	5727
499	5713	5713
500	5723	5701
501	5733	5688
502	5752	5683
503	5762	5670
504	5771	5657
505	5782	5645
506	5792	5633
507	5804	5621
508	5815	5610
509	5829	5600
510	5842	5590
511	5854	5579
512	5865	5568
513	5878	5558
514	5890	5547
515	5904	5538
516	5914	5525
517	5927	5515
518	5949	5513
519	5961	5502
520	5976	5494
521	5995	5490
522	6005	5477
523	6014	5463
524	6023	5449
525	6032	5435
526	6040	5421
527	6048	5406
528	6057	5393
529	6067	5380
530	6075	5366
531	6085	5353
532	6093	5339
533	6101	5324
534	6108	5309
535	6116	5295
536	6124	5280
537	6132	5266
538	6139	5251
539	6147	5236
540	6154	5221
541	6161	5206
542	6169	5192
543	6176	5177
544	6183	5162
545	6191	5147
546	6198	5133
547	6206	5118
548	6213	5104
549	6221	5090
550	6228	5075
551	6235	5061
552	6244	5047
553	6256	5036
554	6267	5025
555	6279	5014
556	6293	5005
557	6306	4995
558	6318	4984
559	6331	4974
560	6348	4967
561	6363	4959
562	6375	4948
563	6390	4940
564	6402	4929
565	6464	4957
566	6474	4944
567	6483	4931
568	6493	4918
569	6501	4904
570	6510	4891
571	6519	4877
572	6527	4864
573	6535	4850
574	6543	4836
575	6552	4823
576	6560	4809
577	6569	4796
578	6577	4782
579	6585	4768
580	6593	4754
581	6605	4744
582	6615	4732
583	6625	4719
584	6635	4707
585	6644	4694
586	6653	4681
587	6663	4668
588	6671	4655
589	6696	4653
590	6704	4639
591	6713	4627
592	6723	4614
593	6734	4603
594	6746	4592
595	6755	4579
596	6766	4567
597	6777	4555
598	6788	4544
599	6798	4532
600	6810	4521
601	6823	4511
602	6835	4500
603	6847	4489
604	6860	4479
605	6872	4468
606	6883	4456
607	6896	4446
608	6907	4434
609	6919	4423
610	6932	4413
611	6944	4402
612	6956	4391
613	6979	4387
614	6992	4377
615	7001	4364
616	7014	4354
617	7026	4343
618	7038	4332
619	7053	4322
620	7065	4312
621	7075	4299
622	7087	4289
623	7101	4279
624	7113	4268
625	7122	4255
626	7130	4241
627	7138	4228
628	7147	4216
629	7157	4203
630	7165	4190
631	7174	4177
632	7183	4164
633	7191	4151
634	7201	4139
635	7210	4126
636	7225	4117
637	7238	4107
638	7250	4096
639	7263	4085
640	7275	4074
641	7288	4064
642	7300	4053
643	7315	4044
644	7332	4035
645	7346	4025
646	7359	4015
647	7369	4002
648	7381	3991
649	7393	3981
650	7406	3970
651	7424	3962
652	7435	3951
653	7447	3940
654	7459	3928
655	7471	3917
656	7482	3906
657	7493	3894
658	7504	3883
659	7513	3870
660	7523	3858
661	7534	3846
662	7544	3834
663	7553	3822
664	7563	3810
665	7574	3798
666	7584	3786
667	7595	3775
668	7606	3763
669	7617	3751
670	7631	3741
671	7643	3730
672	7656	3720
673	7669	3709
674	7681	3698
675	7698	3689
676	7708	3677
677	7717	3665
678	7730	3654
679	7743	3643
680	7758	3634
681	7769	3622
682	7783	3612
683	7797	3602
684	7815	3594
685	7829	3583
686	7845	3574
687	7861	3564
688	7874	3554
689	7889	3544
690	7900	3532
691	7913	3522
692	7927	3511
693	7941	3501
694	7952	3489
695	7963	3478
696	7975	3467
697	7991	3457
698	8004	3446
699	8018	3436
700	8031	3425
701	8045	3415
702	8054	3403
703	8067	3391
704	8078	3380
705	8091	3369
706	8102	3357
707	8113	3346
708	8125	3334
709	8135	3323
710	8146	3311
711	8156	3299
712	8166	3287
713	8176	3275
714	8184	3262
715	8192	3249
716	8202	3237
717	8213	3225
718	8223	3213
719	8233	3201
720	8244	3190
721	8257	3179
722	8267	3167
723	8277	3155
724	8289	3144
725	8301	3133
726	8313	3121
727	8326	3110
728	8339	3100
729	8356	3090
730	8372	3081
731	8384	3069
732	8398	3059
733	8413	3049
734	8430	3039
735	8445	3029
736	8464	3020
737	8475	3008
738	8489	2998
739	8499	2986
740	8511	2974
741	8523	2963
742	8534	2951
743	8545	2940
744	8557	2928
745	8566	2916
746	8575	2904
747	8586	2892
748	8600	2882
749	8611	2870
750	8622	2858
751	8633	2847
752	8647	2836
753	8658	2825
754	8671	2814
755	8681	2801
756	8693	2790
757	8705	2779
758	8727	2771
759	8742	2760
760	8755	2749
761	8767	2738
762	8789	2730
763	8801	2718
764	8812	2707
765	8825	2696
766	8839	2685
767	8851	2673
768	8862	2662
769	8872	2650
770	8882	2638
771	8892	2626
772	8903	2614
773	8914	2602
774	8924	2590
775	8935	2579
776	8953	2569
777	8964	2557
778	8975	2546
779	8988	2535
780	9000	2523
781	9012	2512
782	9026	2501
783	9037	2489
784	9049	2478
785	9063	2467
786	9075	2456
787	9090	2445
788	9102	2434
789	9113	2422
790	9125	2411
791	9137	2399
792	9150	2388
793	9163	2377
794	9173	2365
795	9183	2353
796	9196	2342
797	9206	2330
798	9218	2319
799	9228	2307
800	9238	2295
801	9250	2283
802	9259	2271
803	9268	2259
804	9278	2247
805	9287	2235
806	9296	2223
807	9303	2210
808	9311	2198
809	9319	2186
810	9327	2173
811	9334	2161
812	9342	2148
813	9350	2136
814	9357	2124
815	9366	2112
816	9374	2099
817	9384	2087
818	9392	2075
819	9401	2063
820	9410	2051
821	9431	2042
822	9440	2030
823	9450	2018
824	9459	2006
825	9468	1994
826	9479	1982
827	9490	1971
828	9500	1959
829	9511	1948
830	9522	1936
831	9534	1925
832	9546	1913
833	9557	1902
834	9567	1890
835	9577	1878
836	9588	1867
837	9601	1856
838	9615	1845
839	9628	1833
840	9641	1822
841	9654	1811
842	9666	1800
843	9679	1789
844	9694	1778
845	9788	1781
846	9805	1771
847	9825	1761
848	9841	1750
849	9853	1738
850	9866	1727
851	9879	1716
852	9896	1705
853	9908	1693
854	9922	1682
855	9935	1671
856	9953	1660
857	9965	1649
858	9979	1638
859	9997	1627
860	10017	1617
861	10034	1606
862	10051	1595
863	10063	1584
864	10072	1571
865	10082	1560
866	10094	1548
867	10107	1537
868	10117	1525
869	10128	1513
870	10138	1501
871	10149	1489
872	10160	1478
873	10170	1466
874	10181	1454
875	10191	1442
876	10201	1430
877	10214	1419
878	10226	1407
879	10236	1395
880	10248	1384
881	10260	1372
882	10272	1361
883	10281	1349
884	10294	1337
885	10308	1326
886	10322	1314
887	10338	1303
888	10351	1292
889	10367	1281
890	10381	1269
891	10394	1258
892	10410	1247
893	10423	1235
894	10438	1224
895	10450	1213
896	10460	1201
897	10474	1189
898	10486	1178
899	10497	1166
900	10510	1154
901	10521	1143
902	10534	1131
903	10545	1119
904	10557	1108
905	10569	1096
906	10582	1085
907	10597	1073
908	10611	1062
909	10625	1050
910	10638	1039
911	10649	1027
912	10667	1016
913	10678	1004
914	10690	993
915	10701	981
916	10714	969
917	10726	958
918	10738	946
919	10749	934
920	10760	923
921	10773	911
922	10785	899
923	10797	888
924	10808	876
925	10822	864
926	10834	853
927	10846	841
928	10861	830
929	10872	818
930	10888	806
931	10915	796
932	10935	785
933	10951	773
934	10963	762
935	10978	750
936	10990	738
937	11000	727
938	11012	715
939	11023	703
940	11035	691
941	11046	680
942	11058	668
943	11069	656
944	11080	644
945	11091	633
946	11103	621
947	11116	609
948	11129	598
949	11140	586
950	11151	574
951	11163	562
952	11175	551
953	11189	539
954	11202	527
955	11215	516
956	11226	504
957	11238	492
958	11251	481
959	11262	469
960	11275	457
961	11290	445
962	11303	434
963	11319	422
964	11329	410
965	11344	399
966	11354	387
967	11362	375
968	11370	363
969	11382	352
970	11393	340
971	11404	328
972	11415	316
973	11426	305
974	11439	293
975	11450	281
976	11461	269
977	11474	258
978	11488	246
979	11501	234
980	11512	222
981	11524	211
982	11537	199
983	11549	187
984	11561	176
985	11575	164
986	11591	152
987	11608	140
988	11624	129
989	11636	117
990	11653	105
991	11665	94
992	11682	82
993	11695	70
994	11707	58
995	11719	47
996	11736	35
997	11747	23
998	11759	11
999	11772	0
